Reboleira;Amadora Este;0.805
Amadora Este;Alfornelos;0.805
Alfornelos;Pontinha;0.805
Pontinha;Carnide;0.805
Carnide;Colegio Militar/Luz;0.805
Colegio Militar/Luz;Alto dos Moinhos;0.805
Alto dos Moinhos;Laranjeiras;0.805
Laranjeiras;Jardim Zoologico;0.805
Jardim Zoologico;Praca de Espanha;0.805
Praca de Espanha;Sao Sebastiao;0.805
Sao Sebastiao;Parque;0.805
Parque;Marques de Pombal;0.805
Marques de Pombal;Avenida;0.805
Avenida;Restauradores;0.805
Restauradores;Baixa-Chiado;0.805
Baixa-Chiado;Terreiro do Paco;0.805
Terreiro do Paco;Santa Apolonia;0.805
Odivelas;Senhor Roubado;0.925
Senhor Roubado;Ameixoeira;0.925
Ameixoeira;Lumiar;0.925
Lumiar;Quinta das Conchas;0.925
Quinta das Conchas;Campo Grande;0.925
Campo Grande;Cidade Universitaria;0.925
Cidade Universitaria;Entre Campos;0.925
Entre Campos;Campo Pequeno;0.925
Campo Pequeno;Saldanha;0.925
Saldanha;Picoas;0.925
Picoas;Marques de Pombal;0.925
Marques de Pombal;Rato;0.925
Telheiras;Campo Grande;0.741
Campo Grande;Alvalade;0.741
Alvalade;Roma;0.741
Roma;Areeiro;0.741
Areeiro;Alameda;0.741
Alameda;Arroios;0.741
Arroios;Anjos;0.741
Anjos;Intendente;0.741
Intendente;Martim Moniz;0.741
Martim Moniz;Rossio;0.741
Rossio;Baixa-Chiado;0.741
Baixa-Chiado;Cais do Sodre;0.741
Sao Sebastiao;Saldanha;0.954
Saldanha;Alameda;0.954
Alameda;Olaias;0.954
Olaias;Bela Vista;0.954
Bela Vista;Chelas;0.954
Chelas;Olivais;0.954
Olivais;Cabo Ruivo;0.954
Cabo Ruivo;Oriente;0.954
Oriente;Moscavide;0.954
Moscavide;Encarnacao;0.954
Encarnacao;Aeroporto;0.954
