La Defense;Esplanade de La Defense;0.69
Esplanade de La Defense;Pont de Neuilly;0.69
Pont de Neuilly;Les Sablons;0.69
Les Sablons;Porte Maillot;0.69
Porte Maillot;Argentine;0.69
Argentine;Charles de Gaulle-etoile;0.69
Charles de Gaulle-etoile;Georges V;0.69
Georges V;Franklin D. Roosevelt;0.69
Franklin D. Roosevelt;Champs-elysees-Clemenceau;0.69
Champs-elysees-Clemenceau;Concorde;0.69
Concorde;Tuileries;0.69
Tuileries;Palais Royal-Musee du Louvre;0.69
Palais Royal-Musee du Louvre;Louvre-Rivoli;0.69
Louvre-Rivoli;Chatelet;0.69
Chatelet;Hotel de Ville;0.69
Hotel de Ville;Saint-Paul;0.69
Saint-Paul;Bastille;0.69
Bastille;Gare de Lyon;0.69
Gare de Lyon;Reuilly-Diderot;0.69
Reuilly-Diderot;Nation;0.69
Nation;Porte de Vincennes;0.69
Porte de Vincennes;Saint-Mande;0.69
Saint-Mande;Berault;0.69
Berault;Chateau de Vincennes;0.69
Porte Dauphine;Victor Hugo;0.512
Victor Hugo;Charles de Gaulle-etoile;0.512
Charles de Gaulle-etoile;Ternes;0.512
Ternes;Courcelles;0.512
Courcelles;Monceau;0.512
Monceau;Villiers;0.512
Villiers;Rome;0.512
Rome;Place de Clichy;0.512
Place de Clichy;Blanche;0.512
Blanche;Pigalle;0.512
Pigalle;Anvers;0.512
Anvers;Barbes - Rochechouart;0.512
Barbes - Rochechouart;La Chapelle;0.512
La Chapelle;Stalingrad;0.512
Stalingrad;Jaures;0.512
Jaures;Colonel Fabien;0.512
Colonel Fabien;Belleville;0.512
Belleville;Couronnes;0.512
Couronnes;Menilmontant;0.512
Menilmontant;Pere Lachaise;0.512
Pere Lachaise;Philippe Auguste;0.512
Philippe Auguste;Alexandre Dumas;0.512
Alexandre Dumas;Avron;0.512
Avron;Nation;0.512
Pont de LevalloisBecon;Anatole France;0.487
Anatole France;Louise Michel;0.487
Louise Michel;Porte de Champerret;0.487
Porte de Champerret;Pereire;0.487
Pereire;Wagram;0.487
Wagram;Malesherbes;0.487
Malesherbes;Villiers;0.487
Villiers;Europe;0.487
Europe;Saint-Lazare;0.487
Saint-Lazare;Havre - Caumartin;0.487
Havre - Caumartin;Opera;0.487
Opera;Quatre-Septembre;0.487
Quatre-Septembre;Bourse;0.487
Bourse;Sentier;0.487
Sentier;Reaumur - Sebastopol;0.487
Reaumur - Sebastopol;Arts et Metiers;0.487
Arts et Metiers;Temple;0.487
Temple;Republique;0.487
