Pingguoyuan;Gucheng;1.49
Gucheng;Bajiao Amusement Park;1.49
Bajiao Amusement Park;Babaoshan;1.49
Babaoshan;Yuquanlu;1.49
Yuquanlu;Wukesong;1.49
Wukesong;Wanshoulu;1.49
Wanshoulu;Gongzhufen;1.49
Gongzhufen;Military Museum;1.49
Military Museum;Muxidi;1.49
Muxidi;Nanlishilu;1.49
Nanlishilu;Fuxingmen;1.49
Fuxingmen;Xidan;1.49
Xidan;Tian'anmen West;1.49
Tian'anmen West;Tian'anmen East;1.49
Tian'anmen East;Wangfujing;1.49
Wangfujing;Dongdan;1.49
Dongdan;Jianguomen;1.49
Jianguomen;Yong'anli;1.49
Yong'anli;Guomao;1.49
Guomao;Dawanglu;1.49
Dawanglu;Sihui;1.49
Sihui;Sihui East;1.49
Sihui East;Gaobeidian;1.49
Gaobeidian;Communication University of China;1.49
Communication University of China;Shuangqiao;1.49
Shuangqiao;Guanzhuang;1.49
Guanzhuang;Baliqiao;1.49
Baliqiao;Tongzhou Beiyuan;1.49
Tongzhou Beiyuan;Guoyuan;1.49
Guoyuan;Jiukeshu;1.49
Jiukeshu;Liyuan;1.49
Liyuan;Linheli;1.49
Linheli;Tuqiao;1.49
Xizhimen;Chegongzhuang;1.28
Chegongzhuang;Fuchengmen;1.28
Fuchengmen;Fuxingmen;1.28
Fuxingmen;Changchunjie;1.28
Changchunjie;Xuanwumen;1.28
Xuanwumen;Hepingmen;1.28
Hepingmen;Qianmen;1.28
Qianmen;Chongwenmen;1.28
Chongwenmen;Beijing;1.28
Beijing;Jianguomen;1.28
Jianguomen;Chaoyangmen;1.28
Chaoyangmen;Dongsi Shitiao;1.28
Dongsi Shitiao;Dongzhimen;1.28
Dongzhimen;Yonghegong Lama Temple;1.28
Yonghegong Lama Temple;Andingmen;1.28
Andingmen;Guloudajie;1.28
Guloudajie;Jishuitan;1.28
Jishuitan;Xizhimen;1.28
Bagou;Suzhoujie;1.217
Suzhoujie;Haidianhuangzhuang;1.217
Haidianhuangzhuang;Zhichunli;1.217
Zhichunli;Zhichunlu;1.217
Zhichunlu;Xitucheng;1.217
Xitucheng;Mudanyuan;1.217
Mudanyuan;Jiandemen;1.217
Jiandemen;Beitucheng;1.217
