Capao Redondo;Campo Limpo;1.5
Campo Limpo;Vila das Belezas;1.8
Vila das Belezas;Giovanni Gronchi;1.6
Giovanni Gronchi;Santo Amaro;2.3
Santo Amaro;Largo Treze;1.1
Largo Treze;Adolfo Pinheiro;0.950
Adolfo Pinheiro;Alto da Boa Vista;1.1
Alto da Boa Vista;Borba Gato;1.1
Borba Gato;Brooklin;1
Brooklin;Campo Belo;1
Campo Belo;Eucaliptos;1.7
Eucaliptos;Moema;0.960
Moema;AACD - Servidor;1.2
AACD - Servidor;Hospital Sao Paulo;0.7
Hospital Sao Paulo;Santa Cruz;0.9
Santa Cruz;Chacara Kablin;0.9
Bruno Covas-Mendes/Vila Natal;Grajau - Plataforma 1;2.4
Grajau - Plataforma 1;Primavera Interlagos;1.650
Primavera Interlagos;Estacao Autodromo;1.870
Estacao Autodromo;Estacao Jurubatuba;3.9
Estacao Jurubatuba;Estacao Socorro;1.76
Estacao Socorro;Santo Amaro;1.2
Santo Amaro;Joao Dias;2
Joao Dias;Estacao Granja Julieta;1.87
Estacao Granja Julieta;Estacao Morumbi;1.2
Estacao Morumbi;Estacao Berrini;1.96
Estacao Berrini;Vila Olimpia;1.4
Vila Olimpia;Cidade Jardim;0.950
Cidade Jardim;Hebraica-Reboucas;1.54
Hebraica-Reboucas;Pinheiros;0.750
Pinheiros;Cidade Universitaria;1.43
Cidade Universitaria;Villa Lobos - Jaguare;2.55
Villa Lobos - Jaguare;Ceasa;1.4
Ceasa;Estacao Presidente Altino;2.4
Estacao Presidente Altino;Osasco;1.6
Vila Sonia-Professora Elisabeth Tenreiro;Sao Paulo-Morumbi;1.5
Sao Paulo-Morumbi;Butanta;2.5
Butanta;Pinheiros;0.95
Pinheiros;Faria Lima;0.86
Faria Lima;Fradique Coutinho;0.96
Fradique Coutinho;Oscar Freire;1.45
Oscar Freire;Estacao Paulista do Metro;1.2
Estacao Paulista do Metro;Higienopolis-Mackenzie;1.24
Higienopolis-Mackenzie;Republica;1.1
Republica;Luz;1.21
Vila Madalena;Santuario N. Sra. de Fatima-Sumare;1.42
Santuario N. Sra. de Fatima-Sumare;Clinicas;0.8
Clinicas;Consolacao;1.25
Consolacao;Trianon - Masp;0.97
Trianon - Masp;Brigadeiro;0.88
Brigadeiro;Paraiso;1
Paraiso;Ana Rosa;0.8
Ana Rosa;Chacara Klabin;1.5
Chacara Klabin;Santos - Imigrante;1.06
Santos - Imigrante;Alto do Ipiranga;1.1
Alto do Ipiranga;Estacao Sacoma;1.07
Estacao Sacoma;Tamanduatei;1.65
Tamanduatei;Vila Prudente;1.3
Vila Prudente;Oratorio;2.16
Oratorio;Sao Lucas;1.96
Sao Lucas;Camilo Haddad;1.05
Camilo Haddad;Vila Tolstoi;1.2
Vila Tolstoi;Vila Uniao;1.2
Vila Uniao;Jardim Planalto;1
Jardim Planalto;Sapopemba;1.23
Sapopemba;Fazenda da Juta;1.4
Fazenda da Juta;Sao Mateus;1.15
Sao Mateus;Jardim Colonial;1.73
Tucuruvi;Parada Inglesa;0.88
Parada Inglesa;Jardim Sao Paulo-Ayrton Senna;1.3
Jardim Sao Paulo-Ayrton Senna;Santana;1.45
Santana;Carandiru;0.75
Carandiru;Portuguesa-Tiete;0.75
Portuguesa-Tiete;Armenia;1.2
Armenia;Tiradentes;0.67
Tiradentes;Luz;0.63
Luz;Sao Bento;0.87
Sao Bento;Se;0.7
Se;Japao-Liberdade;0.6
Japao-Liberdade;Sao Joaquim;0.81
Sao Joaquim;Vergueiro;0.8
Vergueiro;Paraiso;0.71
Paraiso;Ana Rosa;0.8
Ana Rosa;Vila Mariana;0.95
Vila Mariana;Santa Cruz;1.2
Santa Cruz;Praca da Arvore;1.32
Praca da Arvore;Saude;0.88
Saude;Sao Judas;0.81
Sao Judas;Conceicao;1.07
Conceicao;Jabaquara;1.22
Palmeiras-Barra Funda;Mal. Deodoro;1.5
Mal. Deodoro;Santa Cecilia;0.93
Santa Cecilia;Republica;0.88
Republica;Estacao Anhangabau;0.55
Estacao Anhangabau;Se;0.62
Se;Pedro II;0.75
Pedro II;Bras;1.05
Bras ;Bresser - Mooca;0.92
Bresser - Mooca;Belem;1.85
Belem;Estacao Tatuape;1.35
Estacao Tatuape;Carrao;1.31
Carrao;Penha;2.23
Penha;Vila Matilde;1.18
Vila Matilde;Guilhermina - Esperanca;1.65
Guilhermina - Esperanca;Patriarca - Vila Re;1.7
Patriarca - Vila Re;Artur Alvim;2.2
Artur Alvim;Corinthias - Itaquera;1.36
Estacao Bras;Estacao Tatuape;4
Estacao Tatuape;Eng. Goulart;8
Eng. Goulart;USP - Leste;2.4
USP - Leste;Comendador Ermelino Matarazzo;2.1
Comendador Ermelino Matarazzo;Sao Miguel Paulista;4
Sao Miguel Paulista;Estacao Jardim Helena - Vila Mara;2.35
Estacao Jardim Helena - Vila Mara;Itaim Paulista;1.95
Itaim Paulista;Estacao Jardim Romano;1.96
Estacao Jardim Romano;Eng. Manoel Feio;2
Eng. Manoel Feio;Estacao Itaquaquecetuba;2.15
Estacao Itaquaquecetuba;Aracare;2.2
Aracare;Calmon Viana;3.2
Estacao da Luz;Estacao Bras;2.3
Estacao Bras;Estacao Tatuape;4
Estacao Tatuape;Corinthias - Itaquera;11.56
Corinthias - Itaquera;Dom Bosco;2.4
Dom Bosco;Jose Bonifacio;1.7
Jose Bonifacio;Guaianazes;1.75
Guaianazes;Antonio Gianetti Neto;3.5
Antonio Gianetti Neto;Ferraz de Vasconcelos;2.1
Ferraz de Vasconcelos;Poa;3.06
Poa;Calmon Viana;1.2
Calmon Viana;Suzano;2.8
Suzano;Jundiapeba;5.3
Jundiapeba;Bras Cubas;3.4
Bras Cubas;Mogi das Cruzes;3.44
Mogi das Cruzes;Estudantes;1.48
Estacao Bras;Mooca;3.8
Mooca;Ipiranga;2.92
Ipiranga;Tamanduatei;1.37
Tamanduatei;Sao Caetano do Sul - Prefeito Walter Braido;2.8
Sao Caetano do Sul - Prefeito Walter Braido;Estacao Utinga;3.35
Estacao Utinga;Estacao Prefeito Saladino;1.6
Estacao Prefeito Saladino;Prefeito Celso Daniel-Santo Andre;1.81
Prefeito Celso Daniel-Santo Andre;Capuava;4.11
Capuava;Estacao Maua;3.3
Estacao Maua;Guapituba;3
Guapituba;Ribeirao Pires;4.4
Ribeirao Pires;Rio Grande da Serra;4.43
Estacao Bras;Estacao da Luz;2.11
Estacao da Luz;Palmeiras-Barra Funda;3.5
Palmeiras-Barra Funda;Agua Branca;2.5
Agua Branca;Lapa - Linha 7;1.6
Lapa - Linha 7;Estacao Piqueri;2.1
Estacao Piqueri;Pirituba;2.16
Pirituba;Estacao Vila Clarice;2.8
Estacao Vila Clarice;Jaragua;1.97
Jaragua;Vila Aurora;2.2
Vila Aurora;Estacao Perus;4
Estacao Perus;Caieiras;4.8
Caieiras;Franco da Rocha;4.9
Franco da Rocha;Estacao Baltazar Fidelis;2.12
Estacao Baltazar Fidelis;Francisco Morato ;3.91
Francisco Morato ;Estacao Botujuru;6.36
Estacao Botujuru;Campo Limpo Paulista;3.9
Campo Limpo Paulista;Varzea Paulista;9
Varzea Paulista;Estacao Jundiai;4.9
Julio Prestes;Palmeiras-Barra Funda;3.13
Palmeiras-Barra Funda;Lapa;3.25
Lapa;Domingos de Moraes;2.5
Domingos de Moraes;Imperatriz Leopoldina;1.76
Imperatriz Leopoldina;Estacao Presidente Altino;2.84
Estacao Presidente Altino;Osasco;1.6
Osasco;Estacao Comandante Sampaio;2.3
Estacao Comandante Sampaio;Estacao Quitauna;1.16
Estacao Quitauna;Estacao General Miguel Costa;0.87
Estacao General Miguel Costa;Carapicuiba;2.1
Carapicuiba;Estacao Santa Terezinha;1.5
Estacao Santa Terezinha;Antonio Joao;1.1
Antonio Joao;Estacao Barueri;2.15
Estacao Barueri;Jardim Belval;1.85
Jardim Belval;Jardim Silveira;1.14
Jardim Silveira;Jandira;1.23
Jandira;Estacao Sagrado Coracao;1.37
Estacao Sagrado Coracao;Engenheiro Cardoso;1.7
Engenheiro Cardoso;Itapevi;1.73
Itapevi;Santa Rita;1.55
Santa Rita;Amador Bueno;4.73
