Cidade;A-Star;Dijkstra;Origem;Destino;Distancia
Lisboa;0.0006;0.00077;Rato;Intendente;5.563
Lisboa;0.0005;0.00033;Rato;Intendente;5.563
Lisboa;0.0004;0.00028;Rato;Intendente;5.563
Lisboa;0.00036;0.00035;Rato;Intendente;5.563
Lisboa;0.00047;0.00037;Rato;Intendente;5.563
Lisboa;0.00049;0.00046;Rato;Intendente;5.563
Lisboa;0.00049;0.0004;Rato;Intendente;5.563
Lisboa;0.00039;0.00031;Rato;Intendente;5.563
Lisboa;0.00038;0.00036;Rato;Intendente;5.563
Lisboa;0.00038;0.00033;Rato;Intendente;5.563
Lisboa;0.00042;0.00031;Rato;Intendente;5.563
Lisboa;0.00089;0.0007;Rato;Intendente;5.563
Lisboa;0.00053;0.00048;Rato;Intendente;5.563
Lisboa;0.0006;0.00054;Rato;Intendente;5.563
Lisboa;0.0006;0.00037;Rato;Intendente;5.563
Lisboa;0.00039;0.0004;Rato;Intendente;5.563
Lisboa;0.00033;0.00028;Rato;Intendente;5.563
Lisboa;0.00043;0.00027;Rato;Intendente;5.563
Lisboa;0.00038;0.00032;Rato;Intendente;5.563
Lisboa;0.00035;0.00035;Rato;Intendente;5.563
Lisboa;0.00035;0.00028;Rato;Intendente;5.563
Lisboa;0.00036;0.00029;Rato;Intendente;5.563
Lisboa;0.00036;0.00031;Rato;Intendente;5.563
Lisboa;0.00034;0.00028;Rato;Intendente;5.563
Lisboa;0.00037;0.00024;Rato;Intendente;5.563
Lisboa;0.00039;0.00031;Rato;Intendente;5.563
Lisboa;0.00036;0.00032;Rato;Intendente;5.563
Lisboa;0.00032;0.00031;Rato;Intendente;5.563
Lisboa;0.00037;0.00048;Rato;Intendente;5.563
Lisboa;0.0006;0.00045;Rato;Intendente;5.563
Lisboa;0.00016;0.00095;Alto dos Moinhos;Laranjeiras;0.805
Lisboa;0.00012;0.00057;Alto dos Moinhos;Laranjeiras;0.805
Lisboa;0.00017;0.0006;Alto dos Moinhos;Laranjeiras;0.805
